first_adj,last.dose.adj,time_since_vacc_cut,n,prop
2021-12-15,2,"[0,91)",3433,0.18140984992601986
2021-12-15,2,"[91,182)",3761,0.1987423377721412
2021-12-15,2,"[182,365)",11730,0.6198478123018389
2021-12-15,3,"[0,91)",41751,0.9341940392016468
2021-12-15,3,"[91,182)",2895,0.06477669381544796
2021-12-15,3,"[182,365)",46,0.001029266982905218
2021-12-15,4,"[0,91)",104,0.8
2021-12-15,4,"[91,182)",9,0.06923076923076923
2021-12-15,4,"[182,365)",17,0.13076923076923078
2022-05-15,2,"[0,91)",1065,0.08194829178208679
2022-05-15,2,"[91,182)",2038,0.15681748230224685
2022-05-15,2,"[182,365)",2946,0.22668513388734995
2022-05-15,2,"[365,Inf)",6947,0.5345490920283164
2022-05-15,3,"[0,91)",2871,0.08274013660336033
2022-05-15,3,"[91,182)",23719,0.6835643678492176
2022-05-15,3,"[182,365)",8085,0.23300383296348598
2022-05-15,3,"[365,Inf)",24,6.916625839361365e-4
2022-05-15,4,"[0,91)",11663,0.9737017866087828
2022-05-15,4,"[91,182)",289,0.024127567206545332
2022-05-15,4,"[182,365)",21,0.0017532142260811487
2022-05-15,4,"[365,Inf)",5,4.174319585907497e-4
2022-08-15,2,"[0,91)",612,0.05257731958762887
2022-08-15,2,"[91,182)",826,0.07096219931271477
2022-08-15,2,"[182,365)",2753,0.23651202749140893
2022-08-15,2,"[365,Inf)",7449,0.6399484536082474
2022-08-15,3,"[0,91)",1096,0.03999708050507262
2022-08-15,3,"[91,182)",2333,0.0851397708196482
2022-08-15,3,"[182,365)",23939,0.8736223633311437
2022-08-15,3,"[365,Inf)",34,0.0012407853441354646
2022-08-15,4,"[0,91)",5811,0.3573361210183249
2022-08-15,4,"[91,182)",10289,0.6327020046734719
2022-08-15,4,"[182,365)",156,0.009592916000491945
2022-08-15,4,"[365,Inf)",6,3.6895830771122864e-4
2022-12-15,2,"[0,91)",209,0.019707685054219708
2022-12-15,2,"[91,182)",370,0.03488920320603489
2022-12-15,2,"[182,365)",1445,0.13625648279113625
2022-12-15,2,"[365,Inf)",8581,0.8091466289486091
2022-12-15,3,"[0,91)",1251,0.0690664163860211
2022-12-15,3,"[91,182)",569,0.031413901617622704
2022-12-15,3,"[182,365)",3787,0.20907635399988958
2022-12-15,3,"[365,Inf)",12506,0.6904433279964666
2022-12-15,4,"[0,91)",22655,0.8399139880621362
2022-12-15,4,"[91,182)",844,0.03129054980906833
2022-12-15,4,"[182,365)",3432,0.1272383494605717
2022-12-15,4,"[365,Inf)",42,0.0015571126682237793
